,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,XRPUSDT
2023-12-02,39450.35,2164.74,63.66,229.0,0.6208
2023-12-03,39972.26,2192.95,62.98,228.1,0.6229
2023-12-04,41991.1,2243.37,61.64,233.5,0.6245
2023-12-05,44073.32,2293.33,61.03,231.2,0.621
2023-12-06,43762.69,2232.7,61.85,229.4,0.64
2023-12-07,43273.14,2355.73,67.74,232.6,0.6432
2023-12-08,44170.99,2358.72,74.94,238.9,0.6721
2023-12-09,43713.6,2340.49,72.3,237.7,0.6584
2023-12-10,43789.51,2352.39,74.87,239.8,0.6617
2023-12-11,41253.4,2225.12,70.25,246.4,0.6187
2023-12-12,41492.39,2203.46,68.6,254.6,0.6192
2023-12-13,42869.03,2260.16,70.62,252.0,0.6275
2023-12-14,43022.26,2315.32,75.68,253.3,0.6316
2023-12-15,41940.3,2220.5,72.51,244.9,0.6156
2023-12-16,42278.03,2228.96,73.72,244.4,0.6203
2023-12-17,41374.65,2196.52,70.87,238.8,0.6103
2023-12-18,42657.8,2219.43,74.42,241.7,0.6125
2023-12-19,42275.99,2177.91,73.0,252.9,0.6047
2023-12-20,43668.93,2202.17,82.21,260.3,0.6171
2023-12-21,43861.8,2239.61,93.84,272.1,0.6241
2023-12-22,43969.04,2324.54,97.9,271.1,0.6244
2023-12-23,43702.16,2308.2,107.88,271.0,0.6195
2023-12-24,42991.5,2264.05,112.45,264.5,0.6121
2023-12-25,43576.13,2271.35,120.91,266.9,0.6462
2023-12-26,42508.93,2230.88,112.49,297.7,0.6219
2023-12-27,43428.85,2378.35,106.91,324.1,0.634
2023-12-28,42563.76,2344.15,101.8,322.6,0.6346
2023-12-29,42066.95,2299.2,106.17,313.7,0.623
2023-12-30,42140.28,2291.68,101.9,317.1,0.6207
2023-12-31,42283.58,2281.87,101.72,311.8,0.6156
2024-01-01,44179.55,2352.04,109.91,313.5,0.6294
2024-01-02,44946.91,2355.34,106.73,312.2,0.6246
2024-01-03,42845.23,2209.72,98.52,315.8,0.5823
2024-01-04,44151.1,2267.11,104.91,323.7,0.5868
2024-01-05,44145.11,2268.78,99.94,317.5,0.5757
2024-01-06,43968.32,2240.78,93.77,307.5,0.5679
2024-01-07,43929.02,2221.42,89.44,302.4,0.5515
2024-01-08,46951.04,2330.44,97.88,303.7,0.5776
2024-01-09,46110.0,2344.29,99.36,301.1,0.5669
2024-01-10,46653.99,2584.38,102.0,305.8,0.6008
2024-01-11,46339.16,2618.01,99.9,308.2,0.6019
2024-01-12,42782.73,2522.54,92.12,296.6,0.5699
2024-01-13,42847.99,2578.19,95.85,302.2,0.5747
2024-01-14,41732.35,2472.87,93.81,299.5,0.5763
2024-01-15,42511.1,2511.78,94.36,317.5,0.5757
2024-01-16,43137.95,2587.4,97.61,315.2,0.5757
2024-01-17,42776.1,2530.19,102.1,309.4,0.5685
2024-01-18,41327.5,2470.81,94.4,313.0,0.552
2024-01-19,41659.03,2492.0,93.62,314.7,0.5443
2024-01-20,41696.04,2472.01,92.88,317.2,0.5534
2024-01-21,41580.33,2457.05,91.09,318.6,0.5464
2024-01-22,39568.02,2314.2,83.84,305.9,0.5275
2024-01-23,39897.6,2242.6,84.35,298.8,0.5183
2024-01-24,40084.88,2235.02,88.77,293.1,0.5181
2024-01-25,39961.09,2218.64,86.91,292.1,0.5138
2024-01-26,41823.51,2267.68,92.28,302.2,0.5323
2024-01-27,42120.63,2267.94,94.28,305.6,0.5303
2024-01-28,42031.06,2256.9,95.98,305.3,0.5241
2024-01-29,43302.7,2317.6,101.68,310.7,0.5352
2024-01-30,42941.1,2343.01,101.4,307.6,0.5107
2024-01-31,42580.0,2283.14,96.96,300.5,0.5033
2024-02-01,43082.94,2304.28,97.81,300.2,0.5058
2024-02-02,43200.0,2309.06,100.58,301.4,0.5105
2024-02-03,43011.09,2296.49,97.96,299.7,0.5186
2024-02-04,42582.88,2289.79,95.49,304.7,0.5032
2024-02-05,42708.7,2301.83,95.66,301.2,0.5069
2024-02-06,43098.95,2372.64,96.88,302.7,0.505
2024-02-07,44349.6,2425.1,101.14,307.3,0.5138
2024-02-08,45288.65,2419.55,102.76,319.2,0.5147
2024-02-09,47132.77,2486.56,106.94,324.0,0.5262
2024-02-10,47751.09,2500.24,109.01,323.0,0.5239
2024-02-11,48299.99,2507.21,107.46,320.7,0.5261
2024-02-12,49917.27,2659.99,111.64,327.8,0.5315
2024-02-13,49699.59,2639.99,112.48,324.7,0.5247
2024-02-14,51795.17,2774.81,116.97,333.9,0.5378
2024-02-15,51880.0,2822.59,113.5,354.2,0.5622
2024-02-16,52124.11,2801.8,110.33,360.4,0.5643
2024-02-17,51642.64,2785.93,108.92,352.9,0.5496
2024-02-18,52137.67,2881.2,112.24,349.8,0.5571
2024-02-19,51774.73,2944.8,111.53,351.6,0.5626
2024-02-20,52258.82,3014.81,108.31,354.6,0.5622
2024-02-21,51849.39,2967.9,105.03,379.2,0.5491
2024-02-22,51288.42,2971.4,101.76,382.6,0.541
2024-02-23,50744.15,2922.24,99.9,375.5,0.5342
2024-02-24,51568.22,2992.62,104.01,381.7,0.545
2024-02-25,51728.85,3112.59,103.47,388.5,0.5425
2024-02-26,54476.47,3175.94,109.9,401.6,0.5506
2024-02-27,57037.34,3242.36,108.36,394.6,0.5861
2024-02-28,62432.1,3383.1,119.03,414.6,0.575
2024-02-29,61130.98,3340.09,125.68,399.4,0.5867
2024-03-01,62387.9,3433.43,129.43,407.4,0.6013
2024-03-02,61987.28,3421.4,130.02,410.9,0.6442
