pair,y,x,eg_statistic,eg_pvalue,cointegrated_5pct
BNB/XRP,BNBUSDT,XRPUSDT,-3.52883757565115,0.029923199369745704,True
BTC/XRP,BTCUSDT,XRPUSDT,-2.8385024147453026,0.1537410411437899,False
ETH/SOL,ETHUSDT,SOLUSDT,-2.7130876908821495,0.1949069074558482,False
BTC/ETH,BTCUSDT,ETHUSDT,-2.2961299958129238,0.3754854660496373,False
SOL/XRP,SOLUSDT,XRPUSDT,-2.2632986985760946,0.3920021505925487,False
ETH/XRP,ETHUSDT,XRPUSDT,-2.075048772759214,0.4894140360790814,False
ETH/BNB,ETHUSDT,BNBUSDT,-1.9219812061071566,0.5688180580862173,False
BTC/BNB,BTCUSDT,BNBUSDT,-1.800171040021217,0.6296390353521202,False
SOL/BNB,SOLUSDT,BNBUSDT,-1.7177062333342459,0.6687667303998228,False
BTC/SOL,BTCUSDT,SOLUSDT,-1.4814328188267265,0.7682427163782379,False
