snapshot_id,mid_price,spread,true_is_spoof,bid_size_l0,bid_placed_l0,bid_canceled_l0,bid_executed_l0,bid_size_l1,bid_placed_l1,bid_canceled_l1,bid_executed_l1,bid_size_l2,bid_placed_l2,bid_canceled_l2,bid_executed_l2,bid_size_l3,bid_placed_l3,bid_canceled_l3,bid_executed_l3,bid_size_l4,bid_placed_l4,bid_canceled_l4,bid_executed_l4,ask_size_l0,ask_placed_l0,ask_canceled_l0,ask_executed_l0,ask_size_l1,ask_placed_l1,ask_canceled_l1,ask_executed_l1,ask_size_l2,ask_placed_l2,ask_canceled_l2,ask_executed_l2,ask_size_l3,ask_placed_l3,ask_canceled_l3,ask_executed_l3,ask_size_l4,ask_placed_l4,ask_canceled_l4,ask_executed_l4,bid_size,ask_size,total_bid_depth,total_ask_depth,order_book_imbalance,num_orders_placed,num_orders_canceled,num_orders_executed,cancel_to_trade_ratio,order_lifetime_ms,price_impact,spoofed_level_depth,top_size,rolling_avg_size,top_level_size_ratio,bid_cancel_ratio_l0,bid_cancel_ratio_l1,bid_cancel_ratio_l2,bid_cancel_ratio_l3,bid_cancel_ratio_l4,ask_cancel_ratio_l0,ask_cancel_ratio_l1,ask_cancel_ratio_l2,ask_cancel_ratio_l3,ask_cancel_ratio_l4,bid_size_velocity_l0,bid_size_velocity_l1,bid_size_velocity_l2,bid_size_velocity_l3,bid_size_velocity_l4,ask_size_velocity_l0,ask_size_velocity_l1,ask_size_velocity_l2,ask_size_velocity_l3,ask_size_velocity_l4,max_cancel_ratio_across_levels,max_size_velocity_across_levels,is_anomaly,anomaly_score
0,50001.21743120196,5.295896489695914,false,7.435360453460801,19,10,9,9.495916368035191,9,6,3,6.531606612876798,10,6,4,11.560270350254513,12,9,3,35.487344999306686,17,14,3,6.236901234804258,7,5,2,11.2343089337008,13,8,5,10.33424182363547,15,12,3,16.129275319209757,14,9,5,48.424803788520684,8,6,2,7.435360453460801,6.236901234804258,70.510498783934,92.35953109987096,-0.1341501093327271,124,85,39,2.125,766.1994359872242,0.5590417474873524,0,7.435360453460801,11.271527516254494,0.6596586347980239,1.0,1.5,1.2,2.25,3.5,1.6666666666666667,1.3333333333333333,3.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,true,0.5676286095747967
1,49998.245523566155,5.040372700875379,false,4.649278421088046,19,15,4,8.926222061057686,8,8,0,20.476389052866846,9,7,2,11.084466539084264,13,10,3,19.94023878647544,17,14,3,7.992665300762572,13,7,6,7.822081048701396,7,4,3,14.372928121784447,10,6,4,11.22064512523985,7,6,1,37.32498612422,19,15,4,4.649278421088046,7.992665300762572,65.07659486057227,78.73330572070826,-0.09496363466587122,122,92,30,2.967741935483871,881.3574493516701,0.7183242854390981,0,7.992665300762572,11.271527516254494,0.7091022303087557,3.0,8.0,2.3333333333333335,2.5,3.5,1.0,1.0,1.2,3.0,3.0,-0.24263911796877025,-0.030456992023449838,0.4363141938648535,-0.00965604542933992,-0.3359324986646104,0.18646452041906408,-0.20826609689100875,0.1406338193754497,-0.1380784973112835,-0.5235689867520213,8.0,0.5235689867520213,false,0.5238602340034757
2,49997.85392882201,5.938856210796849,false,5.326030171308583,8,4,4,5.265287791209885,8,8,0,12.690961178515105,7,6,1,14.803300489188118,11,8,3,26.897560329179928,6,6,0,17.49356082553505,18,10,8,5.7349655949622385,9,6,3,13.432111912739082,12,7,5,19.02219072963669,6,6,0,16.099741800968864,16,14,2,5.326030171308583,17.49356082553505,64.98313995940161,71.78257086384193,-0.04971590366848546,101,75,26,2.7777777777777777,799.0024077846161,0.6564841257285906,0,17.49356082553505,11.271527516254494,1.5520133185415959,0.8,8.0,3.0,2.0,6.0,1.1111111111111112,1.5,1.1666666666666667,6.0,4.666666666666667,0.058938123805883355,-0.1957208356999281,-0.2435959615367914,0.07547066400761905,0.1503296097588196,1.009007965208233,-0.12738756142930846,-0.032760795724347855,0.21945545930184382,-1.0011767760501158,8.0,1.009007965208233,false,0.4749654879027577
3,50000.1436851779,4.010410923390654,false,7.503096082034527,12,6,6,8.46777722675876,7,5,2,12.465394252996795,19,19,0,19.85787108161658,17,11,6,86.41449159749631,8,7,1,3.554729602146401,14,13,1,6.927941128312011,9,8,1,7.916917923157368,19,18,1,11.726877017113184,7,6,1,71.16790368324676,9,6,3,7.503096082034527,3.554729602146401,134.70863024090298,101.29436935397572,0.14158405166157195,121,99,22,4.304347826086956,759.1215300818583,0.5733560373634455,0,7.503096082034527,11.271527516254494,0.6656680801439228,0.8571428571428571,1.6666666666666667,19.0,1.5714285714285714,3.5,6.5,4.0,9.0,3.0,1.5,0.1896000714266644,0.17121146200526427,-0.007057697148996537,0.10257833611347647,1.2860059717939243,-1.4803227436214939,0.07281353016000863,-0.19204828949128486,-0.20521528716445453,2.5975184990407683,19.0,2.5975184990407683,false,0.4579201159735335
4,50007.406353101,4.242650056761987,false,6.1464551766937205,11,6,5,8.82391517995546,18,18,0,12.594972200826325,12,7,5,20.41762956810712,17,11,6,26.5262029130955,17,13,4,5.151155112570468,13,6,7,21.906470366002758,19,14,5,24.42923721387509,7,4,3,28.90553265456046,17,17,0,28.002029004035197,14,13,1,6.1464551766937205,5.151155112570468,74.50917503867812,108.39442435104397,-0.1852628894424587,145,109,36,2.945945945945946,836.6795392521469,0.7169983048815904,0,6.1464551766937205,11.271527516254494,0.5453080931426564,1.0,18.0,1.1666666666666667,1.5714285714285714,2.6,0.75,2.3333333333333335,1.0,17.0,6.5,-0.7133282682361347,0.14533384096755544,0.016463565926230685,0.22744468258026415,-1.3920989858239843,0.18750568670565076,2.02431100340002,1.9717119407624708,1.7164928634668013,-1.1763419074380825,18.0,2.02431100340002,false,0.4292245152922809
5,50006.77640965549,6.228843768153703,false,15.421243185243814,17,12,5,11.566368123392428,6,3,3,31.940803275417935,10,7,3,17.630874611206384,8,7,1,32.843241671952484,17,14,3,17.671749005767012,12,10,2,10.312713973385971,7,4,3,19.913230421286546,13,13,0,26.463019603054178,14,13,1,23.7347871300224,19,19,0,15.421243185243814,17.671749005767012,109.40253086721304,98.09550013351611,0.05449223146439014,123,102,21,4.636363636363637,865.3419041181505,0.5325398954046502,0,17.671749005767012,11.271527516254494,1.5678220170498505,2.0,0.75,1.75,3.5,3.5,3.3333333333333335,1.0,13.0,6.5,19.0,2.183748587608026,1.1028846063707543,1.893750631799226,-0.9668065861735802,0.16356683484031972,1.3577903907315534,-1.336856915896717,-0.5598217018080583,-0.26603968623843566,-0.13001521212172162,19.0,2.183748587608026,false,0.442305926311408
6,50008.37024418273,4.951604357131881,false,4.451055756896043,7,4,3,11.659360435101227,7,5,2,15.680102461193542,16,15,1,6.479832355395909,7,7,0,51.33603251520047,12,11,1,11.099297799191481,16,11,5,11.418972336040836,17,12,5,16.312082927242354,7,7,0,38.13153199164496,8,7,1,37.43518228498647,7,6,1,4.451055756896043,11.099297799191481,89.6063835237872,114.3970673391061,-0.12152090423205747,104,85,19,4.25,839.427643697946,0.5974150435836231,0,11.099297799191481,11.271527516254494,0.9847199310994323,1.0,1.6666666666666667,7.5,7.0,5.5,1.8333333333333333,2.0,7.0,3.5,3.0,-1.812100363365743,0.04093043198675815,-1.3412720339191364,-2.1052033741995797,0.5140525411081688,-0.7296914298814053,0.1394837975952549,-0.4724956478415559,1.2703072505103732,0.446139579139299,7.5,2.1052033741995797,false,0.39246396841196485
7,50010.47479434996,6.83117475198614,false,23.660962783383965,18,15,3,7.934774038171216,13,7,6,7.202193107084731,19,15,4,23.627415197990807,16,15,1,25.21893654444748,15,12,3,7.917858010514022,14,7,7,7.013016771333407,12,7,5,11.060039845869644,10,9,1,27.524411404930653,17,15,2,7.64162525202348,9,6,3,23.660962783383965,7.917858010514022,87.6442816710782,61.15695128467121,0.1780047776504904,143,108,35,3.0,749.2905560275615,0.7533295571455277,0,23.660962783383965,11.271527516254494,2.0991797916709034,3.75,1.0,3.0,7.5,3.0,0.875,1.1666666666666667,4.5,5.0,1.5,2.152970220437771,-1.4656238014302172,-0.7218266354372653,2.1437649586509666,-0.7508225825943134,-0.3764631291005166,-0.5868255223073127,-0.7117522443247638,-1.082837327679942,-0.988798487786316,7.5,2.152970220437771,false,0.4828160428407674
8,50010.969269554815,7.633826245066189,false,14.351336390593902,12,6,6,10.445465091306236,7,7,0,8.637751086619176,6,4,2,9.108636411500042,13,8,5,22.9857634640351,12,11,1,5.657883491289289,11,11,0,9.074628312230207,18,15,3,11.345442364204258,11,9,2,31.741024727886646,8,5,3,65.10000655231396,7,5,2,14.351336390593902,5.657883491289289,65.52895244405445,122.91898544792436,-0.3045405200282251,105,81,24,3.24,821.01467878816,0.6709302899296125,0,14.351336390593902,11.271527516254494,1.2732379324717136,0.8571428571428571,7.0,1.3333333333333333,1.3333333333333333,5.5,11.0,3.75,3.0,1.25,1.6666666666666667,-1.016109695485718,0.9874801248682682,0.13055572338043592,-1.5792053191923874,-0.06862940745038856,-0.28435128640554913,0.2913511836773483,0.041346156855699714,0.4578218264683586,1.6388569553375443,11.0,1.6388569553375443,false,0.4282924038321765
9,50013.65986994848,4.731508450848979,false,8.727990728934433,11,9,2,4.505599000902785,19,15,4,11.63029569704079,12,9,3,21.63187677833415,14,13,1,33.448399178667046,9,9,0,7.412513096841236,13,8,5,10.44229808731495,7,7,0,9.11998342397481,9,6,3,31.279323230015102,17,11,6,21.032773036965356,16,12,4,8.727990728934433,7.412513096841236,79.9441613838792,79.28689087511145,0.004127778466845122,127,99,28,3.413793103448276,776.9777426086378,0.5374879855739948,0,8.727990728934433,12.208247454635746,0.7149257713989258,3.0,3.0,2.25,6.5,9.0,1.3333333333333333,7.0,1.5,1.5714285714285714,2.4,-0.6338753236454053,-1.9372876267705395,0.28764710026207513,1.3091590019856285,0.33852320013120185,0.23347348690891329,0.20441376992940127,-0.33977313089220024,-0.0530011710162615,-1.2205666947287388,9.0,1.9372876267705395,false,0.38651256697934694
